,Exhibitor,Address,City,Zip,Tel,Country,email,About,Key Words,Logo,WebSite,Hall,Stand
10,ABUS August Bremicker S&ouml;hne KG,Altenhofer Weg 25,Wetter,58300,+49 23356340,Germany,info@abus.de,"As a provider of security technology, ABUS has been offering market-driven solutions for added security since 1924. The ABUS...","['Video&uuml;berwachung', 'Alarm', 'Geb&auml;udeautomation', 'Zutrittskontrolle', 'Sicherheitssystem']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0012324438/RGB_JPG_ABUS.jpg,www.abus.com,8.0,F90
11,&quot;ACA&quot; APOSTOLIDIS S.A.,Industrial Area of Serres,Serres,62100,+30 2321077020,Greece,info@acalight.gr,"Apostolidis-ACA Lighting is a renowned leader in Professional - architecturallighting, and in electrical equipment.Aca Lighting...","['Track light', 'Led lighting system', 'Wireless', 'Linear', 'Pendant']",,www.acalight.gr,4.1,C20
12,ACCLAIM LIGHTING LLC,Junostraat 2,Kerkrade,6468 EW,+31 455468560,Netherlands,pascal.vansloun@acclaimlighting.com,"	Acclaim Lighting was founded 2003 in Los Angeles, California and immediately made an impact on the market with an impressive...","['LED spotlight', 'Facade LED lighting', 'Architectural LED lighting', 'LED floodlight', 'Flexible LED lighting']",,www.acclaimlighting.com,4.1,E35
13,Accord Lighting,"PR 281 Road, KM 516,2",Dois Vizinhos,85660-000,+55 4635815950,Brazil,adrian@accordlighting.com,	ACCORD was born in the countryside of southern Brazil from the dream of three brothers to work together with the legacy...,"['Wooden Luminaires', 'Accord', 'Brazil', 'Decorative', 'Wood']",,www.accordlighting.com,6.0,B55
14,Accurex Technologies Pte. Lt.d,"06-108, 18 Boon Lay Way, Trade Hub 21",Singapore,609966,+65 92723477,Singapore,sandeep@accurex.com.sg,"Accurex Technologies Pte Ltd, Singapore, established in 1997, is one of the leading distributors of LED lighting components...","['Smart / Intelligent/ Connected Street lighting for Smart Cities', 'Surge protection devices SPD&#39;s', 'Bridgelux LED chips', 'Soldering equipments, PCBA production systems, Assembly tools,', 'LED light Manufacturers']",,https://www.accurex.com.sg/,8.0,A90
15,ACLARA LIGHTING,C/ de l'Estrella 5 local 3,Montornès,08170,+34 690146640,Spain,hello@aclaralighting.com,"Our sustainable designs become endless new proposals for hotels, residentials, design and decoration professionals, architects...","['Contract', 'Lighting', 'Lamp', 'Pendant', 'Decorative']",,https://aclaralighting.com,3.1,D30
16,ACO Sp. z o.o. Sp. Komandytowa,Diamentowa 7,Suchy Las,62002,+48 618439371,Poland,export@aco.com.pl,	We are a manufacturer of intercoms and videophones with 30 years of experience in the industry. Our head office is in Poland...,"['IP solutions', 'access control', 'IP intercoms', 'European manufacturer', 'Digital audio door entry systems']",,https://www.aco.com.pl/,11.1,A07
17,Acolyte,"Herikerbergweg 286, 8th Floor",Amsterdam,1101 CT,+31 85 208 6093,Netherlands,saleseurope@glendbrands.com,Acolyte is a leading provider of architectural LED lighting solutions. Through collaboration with international designers...,"['Architectural lighting', 'Custom LED fixtures', 'LED neon', 'wall washers and grazers', 'pendants']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0052435338/RGB_JPG_GEN.jpg,https://acolyteled.com,4.1,F55
18,ACRILUX S.r.l.,S.P. 571 Km 10+983,Recanati (MC),62019,+39 0717589201,Italy,commercialservices@acrilux.com,Acrilux was founded 1966 and has developed in this cultural and industrial context: a wealth of experience is what has led...,"['Plastic injection Moulding', 'Plastic Injection Blow Moulding', 'Refractors', 'Globes', 'Diffusers']",,www.acrilux.com,8.0,C07
19,adatec GmbH,Kutzerstr. 30,Fürth,90765,+49 911 323 7200,Germany,info@adatis.com,3D facial recognition based on Deep Learning and Artificial Intelligence.Smartphone-like user experience for your entrance.High...,"['Biometrie', 'Gesichtserkennung', 'FaceEntry', 'Zutrittskontrolle', 'T&uuml;rkommunikation']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0012303704/RGB_JPG_ADATIS.jpg,www.adatis.com,8.0,J82
20,ADURO Technologies Europe B.V.,Dedemsvaartseweg-Zuid 59,Lutten,7775 AC,+31 523687555,Netherlands,info@adurolight.eu,"EIN VOLLSTÄNDIGES BELEUCHTUNGSKONZEPTWir sehen die Möglichkeiten von Beleuchtung. Gute Beleuchtung erleichtert, entlastet...","['Beleuchtung', 'Beleuchtungspl&auml;ne', 'Lichtberater', 'Stimmungsbeleuchtung', 'Human Centric Lighting']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0052373133/RGB_JPG_AduroTechnologies.jpg,www.adurolight.eu,4.1,E75
21,Advanced Fiber Optics S.L.,Escornalbou 1,Barcelona,08041,+34 934557200,Spain,sg@afo.es,	AFO was founded in Barcelona in 1998 as a company specialized in innovative lighting solutions with fibre optics and LED...,"['Reeds', 'Starry Skies', 'UNDERWATER STARRY SKIES', 'CHANDELIERS', 'Fiber Optics']",,www.afo.es,4.1,F09
22,AEC Illuminazione S.r.l.,"Via Righi 4, Z.I. Castelnuovo",Subbiano (AR),52010,+39 0575041110,Italy,info@aecilluminazine.it,"	With over 60 years of experience, AEC Illuminazione is an Italian company based in Tuscany, leader in the outdoor lighting...","['Smart solutions', 'Sport area lighting', 'Outdoor lighting', 'Street lighting', 'tunnel lighting']",,www.aecilluminazione.com,4.0,A71
23,aedifion GmbH,Hohenzollernring 72,Köln,50672,+49 22198650770,Germany,info@aedifion.com,"aedifion helps to operate buildings sustainably, efficiently and transparently. With the AI-based cloud platform, the energy...","['Software', 'Geb&auml;udeautomation', 'Energiesystemtechnik', 'Smart Building', 'ESG']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0051945650/RGB_JPG_aedifion.jpg,www.aedifion.com,9.0,D37
24,"AERO LIGHT Co., LIMITED.","#319 Building, Yangcheng Industrial Park, Tianhe District","Guangzhou, Guangdong",510665,+86 2038031446,China,info@aerolight.cn,Aero Light is a lighting brand that specialized in luxury hospitality lighting. With strong research and development capabilities...,"['Hospitality lighting', 'Architecture lighting', 'Project Lighting', 'Auto Tracking Light', 'lighting manufacturer']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0052435717/1662200251838_logo_v1.png,https://www.aerolight.cn/,4.1,G75
25,A.F.M.E. Asociacion de Fabricantes de Material Electrico,"Avinguda Diagonal, 477, 12A",Barcelona,08036,+34 934050725,Spain,export@afme.es,	AFME is a non-profit professional organisation operating on the national level which covers the various sub-sectors of the...,"['Electrical', 'Equipment', 'Spain', 'Association', 'Manufacturers']",,www.afme.es,12.0,C36
26,"AGC Lighting Co., Ltd.","Building A, No. 3 Plant, Jian'an Road, Tang Wei",Shenzhen,518000,+86 75533581001,China,info@agcled.com,"AGC has been a recognized market leader in industrial lighting and outdoor lighting in efficacy, lifespan, reliability, savings...","['industrial lighting', 'outdoor lighting', 'Street lighting', 'Sport lighting', 'Exterior lighting']",,www.agcled.com,8.0,K11
27,AGFEO GmbH &amp; Co. KG,Gaswerkstr. 8,Bielefeld,33647,+49 521447090,Germany,info@agfeo.de,"Custom Telecommunication Phones | Telephone systems | Software | SmartHome For 75 years, everything at Bielefeld-based AGFEO...","['Haus- und Geb&auml;udeautomation', 'T&uuml;rsprechstationen', 'Informations- und Kommunikationsanlagen', 'virtuelle IP-Telefonanlage', 'Telekommunikation']",https://exhibitorsearch.messefrankfurt.com/images/medium/mics/migration_feria/20001228.jpg,www.agfeo.de,9.0,D10
28,"AGO Co., Ltd.","No. 554 157 Euljiro, Jung-gu",Seoul,04545,+82 222680568,"Korea, the Republic of (South)",info@agolighting.com,"AGO values simple, honest and refined aesthetics. We collaborate with designers who sharethese values and make their ideas...","['Design', 'modern', 'Lighting', 'decorative', 'interior']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0052391903/RGB_JPG_AGO.jpg,www.agolighting.com,3.1,D20
29,Agolar Gestion SL,Senda de les Animes 158,"Catarroja, Valencia",46470,+34 666525044,Spain,iluminacion@agolar.es,"Agolar lighting, with more than thirty years of experience in the sector, is a lighting factory with LED technology. In their...","['led lighting', 'outdoor lighting', 'architectural lighting', 'indoor lighting', 'retail lighting']",,www.agolar.eu,4.1,D41
30,AGRO AG,Korbackerweg 7,Hunzenschwil,5502,+41 628894747,Switzerland,info@agro.ch,"Since 2002, the AGRO AG is part of the KAISER Group. It has a presence in China and is one of the pioneers in the field of...","['Kabelverschraubungen', 'Cable Glands', 'EMV', 'EMC']",,www.agro.ch,12.0,E61
31,AIDI-Assoziazione Italiana di Illuminazione,Via Andrea Saccardo 9,Milano,20134,+39 0287390100,Italy,aidi@aidiluce.it,"	Since its establishment in 1959, AIDI has been relentlessly disseminating scientific, technical and cultural information...","['AIDI', 'Association', 'Italy']",,www.aidiluce.it,4.1,FOY3
32,"AIKO Lighting Co., Ltd.","17f, Senhainuo Kechuang Building No. 1 DeZheng Road, Shilong Community, Shiyan Town, Bao’an District",Shenzhen,518108,+86 75536861486,China,info@aikoled.com,"AIKO Lighting has been focusing on high-power lighting for 11 years, especially in sports lighting, high mast lighting, street...","['Sports Lighting', 'Flood Lighting', 'Street Lighting', 'Stadium Lighting', 'High Mast Lighting']",,www.aikoled.com,8.0,N63
33,airRoxy Sp. z o.o.,Ul. Graniczna 40,Przyszowice,44-178,,Poland,export@airroxy.com,"We are a Polish,  family-owned company producing ventilation elements in the field of home  and industrial ventilation. We...","['ventilation', 'bathroom fan', 'ventilatoren', 'switches and sockets', 'plugs']",,https://airroxy.com/?sLanguage=en,12.0,E76
34,AIRZONE,C/ Marie Curie 21,Málaga,29590,+34 900400445,Spain,marketing@airzonecontrol.com,,"['HVAC', 'Heat pump', 'Integration', 'Heating', 'Efficiency ']",,www.airzonecontrol.com,12.0,B91
35,Airzone Clima SL,"Parque Tecnológico de Andalucia, Calle Marie Curie 21",Málaga,29590,,Spain,marketing@airzonecontrol.com,,[],,,9.0,E40
36,AKA PCB d.o.o.,Rozna Dolina 54,Lesce,4248,+386 45378700,Slovenia,maja.kotar@aka-pcb.si,"PCB MADE IN EU""REDUCE TIME TO MARKET WITH THE LOCAL PCB SUPPLIER""AKA PCB d.o.o., Slovenia, has become one of the leading...","['IMS PCB Aluminium printed circuit board', 'Leiterplatten mit Silber- oder Karbonverbindungen', 'Einseitige Leiterplatten', 'STH Doppelseitige Leiterplatten', 'PCB  single sided printed circut board']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0012358084/1663239221010_AKA_logo-20vijolicni-20RGB-01.jpg,www.aka-pcb.si,8.0,H56
37,AK IS Plastik Profil Elektrk San Ve Ltd. Sti,IOSB Turgut Ozal Street 8,Basaksehir/Istanbul,34490,+90 2126714471,Türkiye,export@akisplastik.com.tr,Our company was built in 2012 in Istanbul. Our factory is with an area of 6000 m2 in the production cable trunkings products...,"['ADHESIVE, OVERFLOOR, SLOTTED AND SYSTEM PVC CABLE TRUNKINGS', 'ABS AND POLYCARBON PANEL BOARDS', 'ASPIRATORS', 'STEEL AND ISOLATED STEEL SPIRALS', 'PVC PIPES']",,,9.0,B57
38,Akopanel B.V.,De Vesting 16,Dalfsen,7722 GA,,Netherlands,,,[],,,6.0,D30
39,Akritas Sidiropoulos SA,4th km Drama-Prosotsani,Drama,66100,+49 15904115175,Greece,sidiropoulos@thermostone.de,"	THERMOSTONE is a pioneering manufacturing company, providing reliability and professionalism in its unique radiant heating...","['electric radiators', 'design radiators', 'infrarotheizung', 'stone radiators', 'marble heating']",,www.elith.eu,9.0,C59
40,AKTO,Mituvos 4,Kaunas,50130,+370 69824500,Lithuania,info@aktoled.com,"AKTO is a factory located in Lithuania that specializes in the R&D, design and manufacturing of LED modules and flexible...","['LED engines', 'LED light', 'LED strips', 'LED modules', 'LED neon']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0051305344/RGB_JPG_AKTO.jpg,www.aktoled.com,8.0,B74
41,ALANOD GmbH &amp; Co. KG,Egerstr. 12,Ennepetal,58256,+49 2333986500,Germany,info@alanod.de,"Having become renowned in the production of semi-finished products for reflectors in the lighting industry, we have developed...","['Aluminium', 'Lichtl&ouml;sungen, lighting solutions', 'Tageslicht, daylight', 'Gew&auml;chshauslicht, greenlight', 'UV Licht, UV light']",,www.alanod.com,8.0,A32
42,Albayan Electronic and LED Technologies,"No. 290, 81 New Industrial Area, Aldoha",Doha,2943,+974 50575125,Qatar,eng.bassamabdeltwab@gmail.com,"We produce high-quality LED lighting products, covering a wide range of industrial, commercial, municipal, and household...",[],,www.b-ledtec.com,4.1,F61
43,ALDAWLIA-IEC Maher Shebita &amp; Co.,Roshdi 36,Cairo,11121,+20 1223923279,Egypt,nour@iec-egypt.com,	ELEK-Egypt is a leading company in the field of home and building automation powered by the cumulative experience of ALDAWLIA...,"['Smart home', 'Home automation', 'Building automation', 'KNX training', 'KNX']",,www.elek-eg.com,12.0,B91
44,A LED A/S,Hammeren 6,Varde,6800,,Denmark,info@aled.dk,	Supplier for special industrial and office light products.			Professionel Project Management			Light calculations and concepts...,"['OEM Produktion', 'Industriebeleuchtung', 'Au&szlig;enleuchten', 'Downlights', 'B&uuml;robeleuchtung']",,www.aled.dk,4.1,B31
45,Ale Teknoloji Sistemleri San. ve Dis. Tic. A.S.,"Cad. No: 38/4, Beylikdüzü Beylikdüzü OSB Mustafa Kurdoglu",Istanbul (Europe),34520,+90 2122954000,Türkiye,info@lightmaster.com.tr,"	As a group company with 40 years of experience in electronics distribution and manufacturing business, Lightmaster, has...","['DIALUX', 'LIGHTINGDESIGN', 'LEDLIGHTING', 'MANUFACTURER', 'LED']",,www.lightmaster.com.tr,4.1,E71
46,Algorab srl,Via Luigi Negrelli 21/13,Lavis (Trento),38015,+39 04611788675,Italy,marketing@algorab.com,"Algorab is a leading Italian company active for 30 years in remote control and IoT systems.We have designed, created and...","['Smart City', 'Internet of Things', 'Zhaga Socket', 'Smart Lighting', 'Remote Control']",,www.algorab.com,8.0,C93
47,ALING CONEL d.o.o.,Zeleznicka 10,Gajdobra,21432,+381 21762674,Serbia,zvezdana.m@aling-conel.com,"	With more than 30 years of experience, ALING-CONEL is regional leader of innovative and safe electrical installation solutions...","['switches', 'socket-outlets']",,www.aling-conel.com,11.1,C95
48,Alkan Lighting - Alkan Asya Afrika,Avcikoru Mah. Alkan Cad. No: 43,Istanbul,34482,+90 2122100626,Türkiye,info@alkanlighting.com,Alkan Group was founded in 1967. With our market experience of more than 50 years we offer today’s and tomorrow’s lighting...,"['Outdoor Street Stadium Floodlight Canopy Solar Lighting', 'Industrial Highbay Linear Commercial Lighting ', 'Indoor Building Ceiling Market Workplace Factory Lighting', 'LED Tube Lamp', 'Connected Lighting Systems']",,www.alkanlighting.com,6.0,C80
49,All Communications NV,Brusselsesteenweg 339,Gent,9050,+32 92312111,Belgium,frans@allcommunications.be,ALL COMMUNICATIONS NV BRUSSELSE STEENWEG 339 B 9050 GENT BELGIUM manufacturers of the HAM INTERNATIONAL product lines- HIGH...,"['GSM INDOOR COVERAGE', 'ANTENNACOMBINER FOR ROUTERS', 'GSM SIGNALAMPLIFIERS', 'GSM REPEATERS', '5G']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0015054306/1606319333485_ham-20high-20resolution1.jpg,www.allcommunications.be,9.0,A32
50,Allegro-opt PE,Preobrazhenska Str. 76,Kropyvnytskyi,25006,+380 522245377,Ukraine,info@videx.ua,"Ukrainian company Allegro-opt was founded in 2006, at present is one of leaders in sales of LED lighting products under its...","['VIDEX brand', 'SOLAR LIGHTS', 'FLASHLIGHTS', 'ELECTRICAL FITTINGS', 'Full product range']",,www.videx.ua/en,6.0,B20
51,ALLNET GmbH Computersysteme,Maistr. 2,Germering,82110,+49 8989422222,Germany,sales@allnet.de,,[],,www.allnet.de,9.0,C56
52,"Zhongshan Alltop Lighting Co., Ltd","No. 14, Fuqing Road 2, Yongxing Industrial Zone, Henglan Town",Zhongshan,528478,+86 76087567561,China,2355432160@qq.com,"Zhongshan Alltop Lighting CO.,Ltd was established in 2010.Our founder is a senior engineer who has worked in Singapore for...","['SOLAR STREET LIGHT', 'SOLAR FLOOD LIGHT', 'SOLAR GARDEN LIGHT', 'SOLAR SYSTEM', 'LED LIGHT']",,www.alltopgroup.com,8.0,M65
53,A.L.P. Europe Limited,"Unit 3, Park Lane Industrial Estate","Oldbury, West Midlands",B69 4JX,+44 1215521519,Great Britain and Northern Ireland,sales@alpeurope.co.uk,"	ALP Europe, established in July 2000, is recognised as the global market leader for a diverse range of glare control, diffusion...","['Beam Management', 'Diffusion', 'ALP Europe', 'Edge Lit', 'Glare Control']",,www.alpeurope.co.uk,8.0,B29
54,ALPI Deutschland GmbH,Bürgermeister-Neff-Str. 9,Viernheim,68519,+49 62046014618,Germany,p.opatschek@alpi-software.com,ALPI Deutschland GmbHDas 1986 gegründete Unternehmen mit über 100 Mitarbeitern in vier Ländern ist europäischer Marktführer...,"['Elektrotechnik', 'ECAD-Software', 'BIM Elektroplanung', 'CAD-Planung', 'Niederspannung Berechnung']",,www.alpi-software.com,9.0,C45
55,"Altech Co., Ltd.","24 Habin-ro 87-gil, Habin-myeon Dalseong-gun",Daegu,42902,+82 5358506623,"Korea, the Republic of (South)",altech3742@hanmail.net,"We Altech Co., Ltd. are Korea manufacturer of aluminum parts specialist. We have process to make aluminum parts as Product...","['Street light', 'Tunnel light', 'Highbay light']",,,4.1,H60B
56,Altez Elek. Ayd. San. Tic. Ltd Sti.,Mecidiye Mh. Fatih Bulv. Bey Sk. No: 15,Sultanbeyli / Istanbul,34930,+90 2163984272,Türkiye,satinalma@altez.com.tr,	Altez Electronic Lighting Limited Company was founded in 2004 with the objectives of producing emergency lighting and direction...,[],,www.altez.com.tr,4.1,B44
57,ambiHome GmbH,Kackertstraße 11,Aachen,52072,+49 24153809480,Germany,vertrieb@ambihome.de,"ambiHome is a Aachen (Germany) based company that helps house builders to make their houses, apartments etc. ready for the...","['KNX', 'Geb&auml;udeautomation', 'Smart Home', 'Enocean', 'Elektroinstallation']",,www.ambihome.com,11.1,D11
58,Amperfied GmbH,Gutenbergring 20,Walldorf,69190,+49 6222822266,Germany,support@amperfied.com,"For more than 170 years, the HEIDELBERG brand has been associated with high quality and sustainability in the global printing...","['Wallbox', 'Ladestation', 'eMobility', 'EV Charging', 'Charging station']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0052408443/RGB_JPG_Heidelberg.jpg,www.amperfied.com,12.1,B67
59,Amphenol,Old Trail Road 825,Etters,17319,+1 7177736198,United States,lorri.bupp@amphenol-fci.com,"Amphenol Communications Solutions (ACS), a division of Amphenol Corporation, is a worldleader in interconnect solutions for...","['Lighting', 'Zhaga', 'Connectors', 'NEMA', 'harsh']",,https://www.amphenol-cs.com/,8.0,H41
60,ANDCOSTA SRL,Via Delle Pastorelle 6,Thiene (Vicenza),36016,,Italy,,"ANDCOSTA is based near Venice, an area that loves design and culture, past and present, craftsmanship and beauty. The company...","['custom projects', 'acoustic solutions', 'bespoke solutions', 'lights producer', 'italian lighting manufacture']",,,3.1,B71
61,Andromeda Lighting Charalampos Krinas and Co,28th Octovriou 20,"Agios Ioannis Rentis, Piraeus",18233,+30 2104919065,Greece,mvoudicklaris@hotmail.com,"Andromeda Lighting, since 1966 illuminates your steps on Sea and Land. Established 56 years ago in Athens Greece to fulfill...","['Industrial Lighting', 'Brass Bulkhead Light', 'Maritime Lighting', 'Brass Lighting', 'Outdoor Lighting fixtures']",,www.andromedalighting.gr,6.0,B48
62,Asociaci&oacute;n Espa&ntilde;ola de Fabricantes de Iluminaci&oacute;n (ANFALUM),"C/ Príncipe de Vergara, 12 - 1º",Madrid,28001,+34 914353223,Spain,rhernandez@anfalum.com,	ANFALUM (Spanish Association of Lighting Manufacturers) groups more than 80 Spanish companies of all sizes and all types...,"['SPAIN', 'ILUMINACION', 'ASSOCIATION', 'SPANISH', 'LIGHTING']",,www.anfalum.com,3.0,A60
63,"An Hui Chen Rui Electric Co., Ltd.","No. 99 Cao Fang Road, Quanjiao, Anhui Province",Chuzhou,239500,+86 2152685096,China,info@sinolux.com,"CHINALUX CO.,LTD, Head Office in Shanghai, is one leading manufacturer and exporter of LED Lighting and Power products, we...","['LED Work light ( LED Tower) ', 'LED Area Light', 'LED cordless work light ', 'LED Floodlight ', 'LED lighting string ']",,www.sinolux.com,8.0,M64
64,"Anhui Shilin Lighting Co., Ltd.","No. 1 Shilin Road, Huoshan County, Economic Development Zone",Luan,237200,+86 55164698988,China,shilin@shilinlighting.com,"SHILIN lighting was established in 1987, the manufacturing base covers over 400,000 s.q.m. The company has registered capital...","['LED PANEL LIGHT', 'LED DOWN LIGHT', 'LED STRIP LIGHT', 'LED TUBES', 'LED LAMPS']",,www.shilinlighting.com,8.0,J08
65,Anolis by ROBE Lighting s.r.o.,Palackeho 416,Valasske Mezirici,75701,+420 571751500,Czech Republic,info@robe.cz,"The Architecture of LightLeading global manufacturer of high end architectural LED lighting, Anolis boasts an extensive range...","['Architectural lighting', 'Lighting', 'LED lighting', 'Robe lighting', 'Architecture']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0011064611/RGB_JPG_Anolis.jpg,https://www.anolislighting.com,4.1,E31
66,Anour v/Arash Nouri-Nejad,Industrikrogen 6 A,Ishøj,2635,+45 33607070,Denmark,contact@anour.dk,,[],,,3.1,C81
67,Antidark ApS,Damgardvej 2,Middelfart,5500,,Denmark,,ANTIDARK is a Danish company. We design lighting where stylish design and high quality goes hand in hand.Our collection has...,"['Lighting', 'Scandinavian design', 'Spots', 'Track system', 'Pendants']",,,6.0,C34
68,ANTONANGELI ILLUMINAZIONE,"Via Como, 74",Paderno Dugnano,20030,,Italy,marabese@antonangeli.it,"Antonangeli Illuminazione was founded in 1977, and immediately directs its attention to the design and creation of lighting...","['Architectural lighting', 'light systems', 'outdoor emotional ', 'contemporary design ', 'flexible light profile']",,www.antonangeli.it,3.1,C25
69,"Anycasting Co., Ltd.",123-18 Gasan-ro Hallim-myeon,Gimhae,50849,+82 236659088,"Korea, the Republic of (South)",anyoptics@anycasting.com,"Anycasting is a company specialized at plastic LED lens, manufactured by ultra-precise injection technology. As a total LED...","['korea', 'lens', 'custom lens', 'outdoor lighting', 'streetlight']",,www.anyoptics.com,4.1,J31
70,"AnyCasting Co., Ltd.","B-16F Woolim B/D, 583 Yangcheon-ro",Seoul,07547,+82 236659088,"Korea, the Republic of (South)",aidenpark@anycasting.com,AnyCasting develops and manufactures high quality LED lighting lenses using AnyCasting’s independently developed optical...,"['Lens', 'TIR LENS', 'ROADWAY LENS', 'CUSTOM LENS', 'OPTIC']",,http://www.anyoptics.com,8.0,J24
71,Anyhope Technology Limited,"Room 517, 5/F, New City Centre, 2 Lei Yue Mun Road","Kwun Tong, Kowloon",,+86 755 22245680,Hong Kong,sales@anyhopetech.com,"Anyhope Technology Limited was founded in 2009 as a LED strip manufacturer by engineers.Mainly products: LED Strip, LED Ceiling...","['LED Strip', 'High CRI', 'Full Spectrum', 'Sunlike LED', 'LED Ceiling Lights']",,www.anyhopetech.com,8.0,K70A
72,"Anylux Co., Ltd.",Singisandan 2Gil 5,Mungyeong City,36990,+82 326612666,"Korea, the Republic of (South)",anylux@naver.com,"Anylux is a specialized producer of LED modules, and with better quality it,features the outdoor advertising market. We are...","['ledmodule ', 'signage', 'channel letter', 'led', 'smps']",,www.anylux.co.kr,4.1,K31
73,AOK Industrial Company Limited,"Building 1, St. George's Science and Technology Industrial Park, Shajing St. Street",Shenzhen,518124,+86 75523579418,China,wally@aokledlight.com,"Specialized in outdoor and industrial lighting, high-temperature lighting solutions, solar energy, and intelligent control...","['LED SPORTS LIGHT', 'LED STREET LIGHT', 'LED INDUSTRIAL LIGHT', 'LED FLOOD LIGHT', 'SOLAR STREET LIGHT']",,www.aokledlight.com,8.0,L50
